tagId,parentId,name,code,isLeaf
540,527,低频（仅最近一天有游戏行为）,70304,1
541,528,高安装（安装超过7款游戏）,70401,1
542,528,中安装（安装3-7款游戏）,70402,1
543,528,低安装（仅安装1-2款游戏）,70403,1
544,529,高活跃（近30天玩过7款游戏）,70501,1
545,529,中活跃（近30天玩过3-7款游戏）,70502,1
546,529,低活跃（近30天玩过1-2款游戏）,70503,1
704,548,房产行业2.0,802,0
840,548,母婴人群,803,0
854,548,房产行业3.0,804,0
959,548,金融,806,0
1004,548,金融理财,807,0
1078,548,家庭结构,809,0
588,578,医疗器械,4011701,1
668,578,中医馆,4011702,1
1054,578,医院,4011703,1
1055,578,整形医院,4011704,1
1032,579,婚纱摄影,4011801,1
1033,579,婚庆服务,4011802,1
1068,579,婚纱礼服,4011803,1
581,580,美发,4011901,1
583,580,瘦身纤体,4011902,1
585,580,美甲,4011903,1
1035,580,美甲刺青,4011905,1
1066,580,SPA/养生馆,4011907,1
1067,580,美容,4011908,1
655,582,典当行,4012001,1
661,582,证券公司,4012002,1
681,582,保险公司,4012003,1
1034,582,银行,4012004,1
587,584,早教,4012101,1
666,584,亲子教育,4012102,1
667,584,月子中心,4012103,1
672,584,亲子游乐,4012104,1
1038,584,亲子摄影,4012105,1
590,589,考试培训,4012201,1
653,589,语言培训,4012202,1
678,589,技能培训,4012203,1
1037,589,艺术培训,4012204,1
592,591,品牌,901,0
608,591,设备品类,902,0
614,591,功能特性,903,0
621,591,屏幕尺寸,904,0
628,591,操作系统,905,0
632,591,硬件特性,906,0
637,591,运营商,907,0
641,591,网络,908,0
646,591,上市价,909,0
686,591,机型,910,1
693,591,分辨率,911,1
609,608,手机,90201,1
610,608,平板,90202,1
611,608,智能电视,90203,1
612,608,智能手表,90204,1
613,608,智能手环,90205,1
615,614,音乐手机,90301,1
616,614,美颜手机,90302,1
617,614,老人机,90303,1
618,614,摄影手机,90304,1
619,614,高端商务手机,90305,1
620,614,高性价比手机,90306,1
622,621,6.0英寸以上,90401,1
623,621,6.0-5.6英寸,90402,1
624,621,5.5-5.1英寸,90403,1
625,621,5.0-4.6英寸,90404,1
626,621,4.5-3.1英寸,90405,1
627,621,3英寸及以下,90406,1
629,628,iOS,90501,1
630,628,WP,90502,1
631,628,Android,90503,1
633,632,8核芯片,90601,1
634,632,陀螺仪,90602,1
635,632,NFC芯片,90603,1
636,632,双卡双待,90604,1
683,632,指纹,90605,1
638,637,中国移动,90701,1
639,637,中国联通,90702,1
640,637,中国电信,90703,1
687,637,其他运营商,90704,1
642,641,WIFI,90801,1
643,641,4G,90802,1
644,641,3G,90803,1
645,641,2G,90804,1
647,646,1～499,90901,1
648,646,500～999,90902,1
649,646,1000~1999,90903,1
650,646,2000~3999,90904,1
651,646,4000以上,90905,1
689,688,平安—保险,50201,1
690,688,平安—比价,50202,1
705,704,质量1,80201,1
706,704,定制化1,80202,1
707,704,新潮/酷1,80203,1
708,704,简约1,80204,1
709,704,美誉1,80205,1
710,704,亲族1,80206,1
711,704,刺激/乐趣1,80207,1
712,704,自然1,80208,1
713,704,服务1,80209,1
714,704,自由自在1,80210,1
715,704,激情1,80211,1
716,704,高尚1,80212,1
717,704,科技1,80213,1
718,704,活力1,80214,1
719,704,追求1,80215,1
720,704,明智购物1,80216,1
721,704,个人效率1,80217,1
722,704,古典1,80218,1
723,704,安逸1,80219,1
724,704,全面成本1,80220,1
795,794,游戏,50401,0
814,794,动漫,50402,0
818,794,文学,50403,0
825,794,电影,50404,0
830,794,付费,50405,0
796,795,卡牌RPG,5040101,1
797,795,MMO,5040102,1
798,795,回合,5040103,1
800,795,ARPG,5040104,1
801,795,MOBA,5040105,1
802,795,SLG(策略),5040106,1
803,795,竞速(RAC),5040107,1
804,795,飞行射击,5040108,1
805,795,枪战射击(STG),5040109,1
806,795,音乐,5040110,1
807,795,体育类,5040111,1
808,795,塔防,5040112,1
809,795,模拟经营类,5040113,1
810,795,休闲益智大类,5040114,1
811,795,棋牌大类,5040115,1
812,795,跑酷躲避类,5040116,1
813,795,消除类,5040117,1
815,814,动画聚合类,5040201,1
816,814,动漫社区类,5040202,1
817,814,漫画阅读工具类,5040203,1
819,818,运营商的阅读,5040301,1
820,818,阅读,5040302,1
821,818,盗版内容,5040303,1
822,818,听书类,5040304,1
823,818,其他阅读相关,5040305,1
824,818,硬件相关,5040306,1
826,825,在线购票类,5040401,1
827,825,影评社区,5040402,1
828,825,粉丝类,5040403,1
829,825,团购类,5040404,1
831,830,没付过费,5040501,1
832,830,10元及以下,5040502,1
833,830,11-50元,5040503,1
834,830,51-100元,5040504,1
835,830,101-300元,5040505,1
836,830,301-500元,5040506,1
837,830,501-1000元,5040507,1
838,830,1000元以上,5040508,1
841,840,准备要娃,80301,1
842,840,家有宝宝,80302,0
843,840,孕婴童,80303,1
844,842,育儿阶段,8030201,1
845,842,家有大宝宝,8030202,1
846,842,家有小宝宝,8030203,1
849,848,青年之家,50501,1
850,848,小太阳,50502,1
851,848,三代孩子,50503,1
852,848,中年之家,50504,1
853,848,空巢老人,50505,1
855,854,高尚,80401,1
856,854,全面成本,80402,1
857,854,自由自在,80403,1
858,854,自然,80404,1
859,854,追求,80405,1
860,854,质量,80406,1
861,854,新潮 酷,80407,1
862,854,亲族,80408,1
863,854,明智购物,80409,1
864,854,美誉,80410,1
865,854,科技,80411,1
866,854,简约,80412,1
867,854,激情,80413,1
868,854,活力,80414,1
869,854,古典,80415,1
870,854,个人效率,80416,1
871,854,服务,80417,1
872,854,定制化,80418,1
873,854,刺激 乐趣,80419,1
874,854,安逸,80420,1
960,959,P2P,80601,1
966,965,BM,50601,0
967,965,NS,50602,0
968,966,卡牌游戏,5060101,1
969,966,休闲游戏,5060102,1
970,966,智力游戏,5060103,1
971,966,角色扮演,5060104,1
972,966,体育游戏,5060105,1
973,966,桌面游戏,5060106,1
974,966,动作游戏,5060107,1
975,966,策略游戏,5060108,1
976,966,模拟类,5060109,1
977,966,探险游戏,5060110,1
978,966,棋牌游戏,5060111,1
979,966,骰子游戏,5060112,1
980,966,教育游戏,5060113,1
981,966,家庭游戏,5060114,1
982,966,音乐游戏,5060115,1
983,966,赛车游戏,5060116,1
984,966,小游戏,5060117,1
985,966,文字游戏,5060118,1
986,967,仙侠,5060201,1
987,967,功夫,5060202,1
988,967,航海,5060203,1
989,967,盗墓,5060204,1
990,967,真人秀,5060205,1
991,967,金庸,5060206,1
992,967,权谋,5060207,1
993,967,战记,5060208,1
994,967,西游,5060209,1
995,967,部落,5060210,1
996,967,忍者,5060211,1
997,967,言情,5060212,1
998,967,蜀山,5060213,1
999,967,武侠,5060214,1
1000,967,国产动漫,5060215,1
1001,967,欧美奇幻,5060216,1
1002,967,后宫,5060217,1
1005,1004,传统券商证券,80701,1
1006,1004,彩票,80702,1
1007,1004,P2P网贷,80703,1
1008,1004,支付,80704,1
1009,1004,众筹,80705,1
1010,1004,记账,80706,1
1011,1004,第三方卡管理,80707,1
1012,1004,互联网理财,80708,1
1013,1004,金融资讯,80709,1
1014,1004,消费金融,80710,1
1015,1004,手机银行,80711,1
1016,1004,传统保险,80712,1
