Index,model_name,brand_En,brand_Ch,model,price_interval,price,type,screen,tag,device,pixel
1,SAMSUNG:SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
2,A7LTECTC:SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
3,HUAWEI:SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
4,OPPO:SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
5,XIAOMI:SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
6,VIVO:SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
7,LENOVO:SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
8,BBK:SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
9,TCL:SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
10,SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
11,SAMSUNG:A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
12,HISENSE:SM-A7009,samsung,三星,Galaxy A7,2000-3999,2000,手机,5.5-5.1英寸,高性价比,"8核芯片,双卡双待",1920x1080
13,SAMSUNG:SM-A720F,samsung,三星,Galaxy A7（2017）,,,手机,6.0-5.6英寸,摄影,8核芯片,1920x1080
14,SAMSUNG:SM-A720,samsung,三星,Galaxy A7（2017）,,,手机,6.0-5.6英寸,摄影,8核芯片,1920x1080
15,SAMSUNG:SM-A520F,samsung,三星,Galaxy A5（2017）,,,手机,5.5-5.1英寸,摄影,8核芯片，指纹识别，双卡双待,1920x1080
16,:ASUS_X00GD,ASUS,华硕,飞马3s,1000-1999,1999,手机,5.5-5.1英寸,摄影,8核芯片，指纹识别,1280x720
17,NOKIA:TA-1000,Nokia,诺基亚,Nokia 6,1000-1999,1899,手机,5.5-5.1英寸,摄影,8核芯片，指纹识别,1920x1080
18,NOKIA:TA-1003,Nokia,诺基亚,Nokia 6,1000-1999,1899,手机,5.5-5.1英寸,摄影,8核芯片，指纹识别,1920x1080
85431,Yunos:10MOONS_ELF6,10MOONS,10MOONS,T2,1-499,,智能电视,,,,
85432,MBX:BesTV_R1229,Bestv,Bestv,小红盒,,,智能电视,,,,
85433,softwinners:DIYOMATE_A20,DiyoMate,迪优美特,DIYOMATE_A20,1-499,,智能电视,,,,
85434,Giec:Full AOSP on godbox,Giec,Giec,godbox,,,智能电视,,,,
85435,"MStar Semiconductor, Inc.:MStar Android TV",Google,谷歌,MStar Android,,,智能电视,,,,
85436,"Haier Group Co., Ltd:Android TV on Haier 6A600",Haier,海尔,LE42A7000,,,智能电视,,,,
85437,:HIMEDIA_H7,HIMEDIA,海美迪,H7,,,智能电视,,,,
85438,HiSTBAndroidV5:HIMEDIA_HD600AII,HIMEDIA,海美迪,HD600AII,,,智能电视,,,,
85439,Hisense:EC590,Hisense,海信,EC590,,,智能电视,,,,
85440,Hisense:K220,Hisense,海信,K220,2000-3999,,智能电视,,,,
85441,Hisense:VIDAA_TV,Hisense,海信,VIDAA_TV,,,智能电视,,,,
85442,HUAWEI:M310,HUAWEI,华为,m310,1-499,,智能电视,,,,
85443,HUAWEI:M321,HUAWEI,华为,荣耀盒子,,,智能电视,,,,
85444,:RK3128_EMMC_LP,IDER,忆典,S1,1-499,,智能电视,,,,
85445,Allwinner:INPHIC_I9H,INPHIC,英菲克,I9H,,,智能电视,,,,
85446,INPHIC_I9H,INPHIC,英菲克,I9H,,,智能电视,,,,
85447,MBX:INPHIC_I6,INPHIC,英菲克,I6,,,智能电视,,,,
85448,H600,JXD,金星数码,H600,500-999,,手机,4.5-3.1英寸,,,
85449,Q710,K-Touch,天语,Q710,500-999,,手机,3英寸及以下,,,240×320
85450,A210,Lenovo,联想,A210,1-499,,手机,3英寸及以下,,双卡双待,320x240
85451,Letv C1S,LETV,乐视,C1S,,,智能电视,,,,
85452,Letv S40 Air,LETV,乐视,S40 Air,,,智能电视,,,,
85453,MBX:Letv C1S,LETV,乐视,C1S,,,智能电视,,,,
85454,MBX:Letv New C1S,LETV,乐视,NewC1S,,,智能电视,,,,
85455,"MStar Semiconductor, Inc.:Letv S40 Air",LETV,乐视,S40 Air,,,智能电视,,,,
85456,MStar:Letv S40 Air,LETV,乐视,S40 Air,,,智能电视,,,,
85457,MBX:MagicBox,MBX,MBX,MagicBox,2000-3999,,智能电视,,,,
85458,Retro,Motorola,摩托罗拉,V70 Retro,,,手机,,,,
85459,:TRUE SMART 4.0,Omate,Omate,TRUE SMART,1000-1999,,智能手表,3英寸及以下,,,
85460,A90,OPPO,OPPO,A90,500-999,,手机,3英寸及以下,,,
85461,MBX:PBFA3211A,PPTV,PPTV,PBFA3211A,1-499,,智能电视,,,,
85462,:Skyworth 9R10 E690U,Skyworth,创维,E690U,2000-3999,,智能电视,,,,
85463,:Skyworth 9R15 E710U,Skyworth,创维,55E710U,,,智能电视,,,,
85464,MiPT:i71,Skyworth,创维,i71,,,智能电视,,,,
85465,"Skyworth Semiconductor, Inc.:Skyworth 8S50 E510E",Skyworth,创维,E510E,2000-3999,,智能电视,,,,
85466,"Skyworth Semiconductor, Inc.:Skyworth 8S51 E510",Skyworth,创维,E510,2000-3999,,智能电视,,,,
85467,Q510,TCL,TCL,Q510,1-499,,手机,3英寸及以下,,,
85468,MBX:MagicBox1s,Tmall,天猫,MagicBox1s,1-499,,智能电视,,,,
85469,Tmall:MagicBox1s_Plus,Tmall,天猫,天猫魔盒1s+,,,智能电视,,,,
85470,Tmall:MagicBox2,Tmall,天猫,天猫魔盒2,,,智能电视,,,,
85471,:BSL_R10,TOBNICE,拓百纳,T6,,,智能电视,,,,
85472,MiBOX1S,Xiaomi,小米,盒子1S,1-499,,智能电视,,,,
85473,MiBOX2,Xiaomi,小米,小米盒子增强版,,,智能电视,,,,
85474,MiTV,Xiaomi,小米,MiTV,2000-3999,,智能电视,,,,
85475,MiTV2-40,Xiaomi,小米,小米电视2,1000-1999,,智能电视,,,,
85476,MiTV2-49,Xiaomi,小米,小米电视2,,,智能电视,,,,
85477,Xiaomi Digital:MiBOX1S,Xiaomi,小米,盒子1S,1-499,,智能电视,,,,
85478,Xiaomi Digital:MiBOX1S_pdb,Xiaomi,小米,盒子1S,1-499,,智能电视,,,,
85479,Xiaomi:MiBOX_mini,Xiaomi,小米,mibox_mini,,,智能电视,,,,
85480,Xiaomi:MiBOX1S,Xiaomi,小米,盒子1S,1-499,,智能电视,,,,
85481,Xiaomi:MiBOX2,Xiaomi,小米,小米盒子增强版,,,智能电视,,,,
85482,Xiaomi:MiTV,Xiaomi,小米,MiTV,2000-3999,,智能电视,,,,
85483,Xiaomi:MiTV2-40,Xiaomi,小米,小米电视2,1000-1999,,智能电视,,,,
85484,Xiaomi:MiTV2-49,Xiaomi,小米,小米电视2,,,智能电视,,,,
85485,:ZTE C310,ZTE,中兴,C310,1-499,,手机,3英寸及以下,,,96×64
85486,A89,ZTE,中兴,A89,,,手机,,,,
85487,MBX:DM1001,大麦盒子,大麦盒子,DM1001,,,智能电视,,,,
85488,:XMATE_A29,DiyoMate,迪优美特,迪优美特xmate_a29网络机顶盒,,,智能电视,,,,
85489,:MagicBox_M11,Tmall,天猫,M11,,,智能电视,,,,
85490,:MagicBox_M11_MEIZU,Tmall,天猫,M11_MEIZU,,,智能电视,,,,
85491,:10MOONS_D6Q,天敏,天敏,10MOONS D6Q,,,智能电视,,,,
85492,:10MOONS_ELF5,天敏,天敏,10MOONS_ELF5,,,智能电视,,,,
85493,ebox:10MOONS_ELF5,天敏,天敏,10MOONS_ELF5,,,智能电视,,,,
85494,MiPT:VT-E03M,优朋,优朋,VT-E03M,,,智能电视,,,,
85495,Tmall:MagicBox1s_Pro,Tmall,天猫,天猫魔盒1S增强版,,,智能电视,,,,
85496,ChangHong:长虹智能电视,ChangHong,长虹,长虹智能电视,,,智能电视,,,,
85497,"ChangHong Group Co., Ltd:ChangHong Android TV",ChangHong,长虹,长虹智能电视,,,智能电视,,,,
85498,MBX:10MOONS_D6U,天敏,天敏,D6四核增强版,,,智能电视,,,,
85499,Xiaomi:MiBOX3,Xiaomi,小米,小米盒子3,1-499,299,智能电视,,,,
85500,:XMATE_R31,DiyoMate,迪优美特,I5,,,智能电视,,,,
85501,Hisense:Vision_TV,Hisense,海信,远见,,,智能电视,,,,
85502,:VSOON_3128,youmovies,锋影,锋影盒子,,,智能电视,,,,
85503,Tmall:MagicBox_M13,Tmall,天猫,天猫魔盒,,,智能电视,,,,
85504,Hisense:Vision-TV,Hisense,海信,远见,,,智能电视,,,,
85505,"MStar Semiconductor, Inc.:Letv S50 Air",LETV,乐视,S50 Air 3D,,,智能电视,,,,
85506,DuoKan:MiBOX_iCNTV,Xiaomi,小米,小米盒子,,,智能电视,,,,
85507,:IDER_BBA41,IDER,忆典,S1,,,智能电视,,,,
85508,"MStar Semiconductor, Inc.:Letv X50 Air",LETV,乐视,X50 Air,,,智能电视,,,,
85509,HiAndroid:Full AOSP on godbox,INPHIC,英菲克,I6,,,智能电视,,,,
85510,Hisense:K380,Hisense,海信,K380,4000及以上,5299,智能电视,6.0英寸以上,,,
85511,Hisense:LED60K380,Hisense,海信,K380,4000及以上,5299,智能电视,6.0英寸以上,,,
85512,HUAWEI:M330,HUAWEI,华为,M330,1-499,349,智能电视,,,,
85513,:Q6,COOLUX,酷乐视,酷乐视Q6,2000-3999,2080,智能电视,,,,
85514,:True Smart 3.5,Omate,Omate,TrueSmart,1000-1999,1888,智能手表,,,,
85515,:True Smart 3.5_By_NUTCHA@,Omate,Omate,TrueSmart,1000-1999,1888,智能手表,,,,
85516,:TRUE SMART 3.5 MOD,Omate,Omate,TrueSmart,1000-1999,1888,智能手表,,,,
85517,Spreadtrum:True Smart 3.5,Omate,Omate,TrueSmart,1000-1999,1888,智能手表,,,,
85518,qcom:LeTVX60,LETV,乐视,超级电视 X60,4000及以上,4000,智能电视,,,,
85519,SKYWORTH:E910,Skyworth,创维,E910,,,智能电视,,,,
85520,Kaiboer.com:Full AOSP on godbox,Android,安卓,Full AOSP ,,,智能电视,,,,
85521,Sony:BRAVIA 4K 2015,Sony,索尼,BRAVIA 4K,,,智能电视,,,,
85522,TV:TCL-CN-AM6C-A71C-MG,TCL,TCL,TCL L42A71C,2000-3999,3190,智能电视,6.0英寸以上,,,
85523,TCL-CN-AM6C-A71C-MG,TCL,TCL,TCL L42A71C,2000-3999,3190,智能电视,6.0英寸以上,,,
85524,ChangHong:C3000i,ChangHong,长虹,3D47C3000i,,,智能电视,6.0英寸以上,,,
85525,HiMedia:HMD_TVBOX,himedia,海美迪,HMD,,,智能电视,,,,
85526,"MStar Semiconductor, Inc.:Letv X3-40",LETV,乐视,X3-40,1000-1999,1699,智能电视,6.0英寸以上,,,
85527,MStar:Letv X3-40,LETV,乐视,X3-40,1000-1999,1699,智能电视,6.0英寸以上,,,
85528,MStar:XGIMI TV,XGIMI ,极米,Z3D 梦想板,2000-3999,2199,智能电视,,,,
85529,togic:we20s,Tigic,泰捷,WEBOX WE20S,1-499,349,智能电视,,,,
85530,Togic:we20s,Tigic,泰捷,WEBOX WE20S,1-499,349,智能电视,,,,
85531,Unblocktech:Global_Edition_S800,Unblocktech,安博盒子,S800,,,智能电视,,,,
85532,MBX:m201,MBX,MBX,m201,,,智能电视,,,,
85533,MBX:m201_512m,MBX,MBX,m201,,,智能电视,,,,
85534,MBX:m201C,MBX,MBX,m201,,,智能电视,,,,
85535,MBX:m201_th12,MBX,MBX,m201,,,智能电视,,,,
85536,MBX:m201C_1g,MBX,MBX,m201,,,智能电视,,,,
85537,MBX:M201,MBX,MBX,m201,,,智能电视,,,,
85538,MBX:m201_512cs,MBX,MBX,m201,,,智能电视,,,,
85539,MBX:m201v2,MBX,MBX,m201,,,智能电视,,,,
85540,MBX:m201_MX Pro,MBX,MBX,m201,,,智能电视,,,,
85541,MBX:m201_org,MBX,MBX,m201,,,智能电视,,,,
85542,MBX:m201_8189_1G,MBX,MBX,m201,,,智能电视,,,,
85543,MBX:xttai_pb_m201c,MBX,MBX,m201,,,智能电视,,,,
85544,MBX:m201v1,MBX,MBX,m201,,,智能电视,,,,
85545,MBX:m201_m8,MBX,MBX,m201,,,智能电视,,,,
85546,:Full AOSP on Tcl Amber3,TCL,TCL,Amber3,,,智能电视,,,,
85547,Full AOSP on Tcl Amber3,TCL,TCL,Amber3,,,智能电视,,,,
85548,unknown:Full AOSP on Tcl Amber3,TCL,TCL,Amber3,,,智能电视,,,,
85549,:Letv X3-55,LETV,乐视,X3-55,,,智能电视,,,,
85550,Letv X3-55,LETV,乐视,X3-55,,,智能电视,,,,
85551,:Letv X3-55 Pro,LETV,乐视,X3-55 Pro,,,智能电视,,,,
85552,Letv:X3-55 Pro,LETV,乐视,X3-55 Pro,,,智能电视,,,,
85553,:Full AOSP on Haier Amber3,Haier,海尔,Amber3,,,智能电视,,,,
85554,Full AOSP on Haier Amber3,Haier,海尔,Amber3,,,智能电视,,,,
85555,unknown:Full AOSP on Haier Amber3,Haier,海尔,Amber3,,,智能电视,,,,
85556,SKYWORTH:B-303,Skyworth,创维,B-303,,,智能电视,,,,
85557,SkyworthDigitalRT:B-303,Skyworth,创维,B-303,,,智能电视,,,,
85558,:TXCZ_R10B,Txcz,Txcz,R10B,,,智能电视,,,,
85559,:MagicBox_M16C,TMALL,天猫,M16C,,,智能电视,,,,
85560,Actions:10MOONS_ELF6,天敏,天敏,10MOONS_ELF6,,,智能电视,,,,
85561,10MOONS_ELF6,天敏,天敏,10MOONS_ELF6,,,智能电视,,,,
85562,Xiaomi:MiTV3,Xiaomi,小米,小米电视3,,,智能电视,,,,
85563,Xiaomi:MiTV3-48,Xiaomi,小米,小米电视3,,,智能电视,,,,
85564,Xiaomi:MiTV2S-48,Xiaomi,小米,小米电视2S,,,智能电视,,,,
85565,Xiaomi:MiTV2-55,Xiaomi,小米,小米电视2,,,智能电视,,,,
85566,Xiaomi:MiTV2,Xiaomi,小米,小米电视2,,,智能电视,,,,
85567,MiTV2S-48,Xiaomi,小米,小米电视2S,,,智能电视,,,,
85568,Xiaomi:MiTV-S,Xiaomi,小米,小米电视S,,,智能电视,,,,
85569,Allwinner:INPHIC_H3,Allwinner,全志,H3,,,智能电视,,,,
85570,:INPHIC_H3,Allwinner,全志,H3,,,智能电视,,,,
85571,"MStar Semiconductor, Inc.:Letv X3-43",LETV,乐视,X3-43,,,智能电视,,,,
85572,MStar:Letv X3-43,LETV,乐视,X3-43,,,智能电视,,,,
85573,Letv X3-43,LETV,乐视,X3-43,,,智能电视,,,,
85574,"Konka Group Co., Ltd:Konka Android TV 918",konka,康佳,TV 918,,,智能电视,,,,
85575,:Skyworth 9R20 E390E,Skyworth,创维,E390E,,,智能电视,,,,
85576,Skyworth 9R20 E390E,Skyworth,创维,E390E,,,智能电视,,,,
85577,lenovo:ideatv K82,Lenovo,联想,K82,,,智能电视,,,,
85578,ideatv K82,Lenovo,联想,K82,,,智能电视,,,,
85579,TCL Global Research & Design Center.:TCL Android TV,TCL,TCL,TCL Android TV?,,,智能电视,6.0英寸以上,,,
85580,"Tcl Group Co., Ltd:Tcl Android TV",TCL,TCL,TCL Android TV?,,,智能电视,6.0英寸以上,,,
85581,"TCL Group Co., Ltd:TCL Android TV",TCL,TCL,TCL Android TV?,,,智能电视,6.0英寸以上,,,
85582,TCL Android TV,TCL,TCL,TCL Android TV?,,,智能电视,6.0英寸以上,,,
85583,:we30,Tigic,泰捷,WEBOX-WE30,1-499,369,智能电视,6.0英寸以上,,,
85584,:we30pro,Tigic,泰捷,WEBOX-WE30PRO,1-499,499,智能电视,6.0英寸以上,,,
85585,Skyworth Inc.:Skyworth 8H73 6000,Skyworth,创维,8H73 6000,,,智能电视,6.0英寸以上,,,
85586,Skyworth 8H73 6000,Skyworth,创维,8H73 6000,,,智能电视,6.0英寸以上,,,
85587,:YK-K1,youku,优酷,YK-K1,1-499,299,智能电视,,,,
85588,:YK-K1S,youku,优酷,:YK-K1S,1-499,199,智能电视,,,,
85589,YK-K1,youku,优酷,YK-K1,1-499,299,智能电视,,,,
85590,Allwinner:KBE_H8,Allwinner,全志,H8,,,智能电视,,,,
85591,:EGREAT_TVBOX3128,egreat,亿格瑞,3128,,,智能电视,,,,
85592,:TOOFANS_TVBOX3128,egreat,亿格瑞,3128,,,智能电视,,,,
85593,:TVBOX3128,egreat,亿格瑞,3128,,,智能电视,,,,
85594,:Skyworth 9R20 E3500,Skyworth,创维,9R20 E3500,,,智能电视,,,,
85595,:Skyworth 9R43 E3500,Skyworth,创维,9R43 E3500,,,智能电视,,,,
85596,Skyworth Inc.:Skyworth 9R46 E3500,Skyworth,创维,9R20 E3500,,,智能电视,,,,
85597,"Skyworth Semiconductor, Inc.:Skyworth 8S86 E3500",Skyworth,创维,8S86 E3500,,,智能电视,,,,
85598,Skyworth 9R20 E3500,Skyworth,创维,9R20 E3500,,,智能电视,,,,
85599,Skyworth 9R43 E3500,Skyworth,创维,9R20 E3500,,,智能电视,,,,
85600,Skyworth 9R46 E3500,Skyworth,创维,9R20 E3500,,,智能电视,,,,
85601,:Skyworth 9R08 E6000,Skyworth,创维,9R20 E3500,,,智能电视,,,,
85602,Skyworth 9R08 E6000,Skyworth,创维,9R20 E3500,,,智能电视,,,,
85603,"Skyworth Group Co., Ltd:Skyworth 8S61 14K",Skyworth,创维,8S61 14K,,,智能电视,,,,
85604,"Skyworth Group Co., Ltd:Skyworth 8S61 14KJ",Skyworth,创维,8S61 14KJ,,,智能电视,,,,
85605,Skyworth 8S61 14K,Skyworth,创维,8S61 14KJ,,,智能电视,,,,
85606,Skyworth 8S61 14KJ,Skyworth,创维,8S61 14KJ,,,智能电视,,,,
85607,"Konka Group Co., Ltd:Konka Android TV 628",konka,康佳,Android TV 628,,,智能电视,,,,
85608,:Panasonic P55,Panasonic,松下,P55,4000及以上,9200,智能电视,,,,
85609,Panasonic P55,Panasonic,松下,P55,4000及以上,9200,智能电视,,,,
85610,Panasonic:Panasonic P55,Panasonic,松下,P55,4000及以上,9200,智能电视,,,,
85611,softwinners:A10s-TVBOX,DiyoMate,迪优美特,A10s,,,智能电视,,,,
85612,"Tcl Group Co., Ltd:Android TV on Tcl 901",TCL,TCL,MS901,,,智能电视,,,,
85613,Android TV on Tcl 901,TCL,TCL,MS901,,,智能电视,,,,
85614,:pptv85_bx_kk,PPTV,PPTV,85_bx_kk,,,智能电视,,,,
85615,pptv85_bx_kk,PPTV,PPTV,85_bx_kk,,,智能电视,,,,
85616,haohai:Dual Core TV BOX,haohai,浩海,Core TV BOX,,,智能电视,,,,
85617,MBX:B-203,baidu,百度,B-203,,,智能电视,,,,
85618,MStar:Full AOSP on konka_800C_DTMB,konka,康佳,:Full AOSP on konka_800C_DTMB,,,智能电视,,,,
85619,Full AOSP on konka_800C_DTMB,konka,康佳,:Full AOSP on konka_800C_DTMB,,,智能电视,,,,
85620,unknown:Full AOSP on konka_800C_DTMB,konka,康佳,:Full AOSP on konka_800C_DTMB,,,智能电视,,,,
85621,Allwinner:KBE_H3,Allwinner,全志,H3,,,智能电视,,,,
85622,TCL:5054N,TCL,TCL,5054N,,,智能电视,,,,
85623,"Haier Group Co., Ltd:Haier Android TV",Haier,海尔,Haier Group,,,智能电视,,,,
85624,Haier Android TV,Haier,海尔,Haier Group,,,智能电视,,,,
85625,HAIER Group Co Ltd.:HAIER Android TV,Haier,海尔,Haier Group,,,智能电视,,,,
85626,WIKO:LENNY2,Wiko,Wiko,LENNY2,,,手机,5.0-4.6英寸,,,
85627,"MStar Semiconductor, Inc.:Full AOSP on MStar Eagle",Mstar,晨星,Full AOSP on MStar Eagle,,,智能电视,,,,
85628,Full AOSP on MStar Eagle,Mstar,晨星,Full AOSP on MStar Eagle,,,智能电视,,,,
85629,:Spice Mi-506,Spice,Spice,Mi-506,,,手机,5.0-4.6英寸,,,
85630,Spice Mi-506,Spice,Spice,Mi-506,,,手机,5.0-4.6英寸,,,
85631,Spice:Spice Mi-506,Spice,Spice,Mi-506,,,手机,5.0-4.6英寸,,,
85632,米米:MI 5,Xiaomi,小米,MI 5,1000-1999,1999,手机,5.5-5.1英寸,,陀螺仪，NFC芯片，指纹识别，双卡双待,
85633,:MI_4S,Xiaomi,小米,MI 4S,1000-1999,1699,手机,5.0-4.6英寸,,陀螺仪，指纹识别，双卡双待,
85634,GIONEE:V4S,GiONEE,金立,V4S,,,手机,4.5-3.1英寸,,NFC芯片,
85635,V4S,GiONEE,金立,V4S,,,手机,4.5-3.1英寸,,,
85636,:V4S,GiONEE,金立,V4S,,,手机,4.5-3.1英寸,,,
85637,YUANCHUAN:M8-C,1me,1me,M8-C,500-999,699,手机,5.0-4.6英寸,,,
85638,Acer:A1-810,Acer,宏基,Iconia A1-810,500-999,,平板,6.0英寸以上,,,
85639,Acer:V370,Acer,宏基,V370,1000-1999,1699,手机,4.5-3.1英寸,,,
85640,ALLVIEW:A6 Quad,ALLVIEW,ALLVIEW,A6 Quad,500-999,600,手机,4.5-3.1英寸,,双卡双待,
85641,Amazon:KFSOWI,Amazon,亚马逊,Kindle Fire HD 7,1000-1999,,平板,,,,
85642,Amazon:KFTHWI,Amazon,亚马逊,Kindle Fire HDX 7.0,1000-1999,,平板,,,,
85643,Amazon:KFTT,Amazon,亚马逊,Kindle Fire HD,1000-1999,,平板,6.0英寸以上,,,
85644,:AMOI N821,AMOI,夏新,N821,1000-1999,1000,手机,4.5-3.1英寸,,双卡双待,960x540
85645,:L855,AMOI,夏新,L855,500-999,899,手机,5.0-4.6英寸,,,
85646,AMPE:A77,AMPE,爱魅,A77,500-999,,平板,,,,
85647,:ASUS K00S,ASUS,华硕,ME7510KG,500-999,,平板,,,,
85648,:ASUS ZenFone 2 2,ASUS,华硕,ZenFone 2,1000-1999,1299,手机,5.5-5.1英寸,摄影，高性价比,陀螺仪，NFC芯片，双卡双待,1920x1080
85649,:ASUS_T00F,ASUS,华硕,ZenFone 5,1000-1999,1599,手机,5.0-4.6英寸,高性价比,双卡双待,1280x720
85650,:ASUS_T00G,ASUS,华硕,T00G,500-999,999,手机,6.0-5.6英寸,,陀螺仪，双卡双待,
85651,:ASUS_T00J,ASUS,华硕,ZenFone 5,1000-1999,1299,手机,5.0-4.6英寸,高性价比,双卡双待,1280x720
85652,:ASUS_T00P,ASUS,华硕,T00P,500-999,799,手机,5.0-4.6英寸,,双卡双待,
85653,:ASUS_X550,Asus,华硕,飞马2 Plus,2000-3999,2299,手机,5.5-5.1英寸,美颜，摄影,8核芯片，陀螺仪，NFC芯片，双卡双待,1920x1080
85654,:ASUS_Z007,ASUS,华硕,Z007,,,手机,4.5-3.1英寸,,,
85655,:ASUS_Z00AD,ASUS,华硕,ZenFone 2,1000-1999,1299,手机,5.5-5.1英寸,摄影,陀螺仪，NFC芯片，双卡双待,1920x1080
85656,:ASUS_Z00ADB,ASUS,华硕,ZenFone 2,1000-1999,1299,手机,5.5-5.1英寸,摄影,陀螺仪，NFC芯片，双卡双待,1920x1080
85657,:ASUS_Z00UDB,ASUS,华硕,ZenFone Selfie,1000-1999,1799,手机,5.5-5.1英寸,摄影,8核芯片，陀螺仪，双卡双待,1920x1080
85658,:ASUS_Z00UDF,ASUS,华硕,ZenFone Selfie,1000-1999,1799,手机,5.5-5.1英寸,摄影,8核芯片，陀螺仪，双卡双待,1920x1080
85659,asus:A500CG,ASUS,华硕,ZenFone 5,1000-1999,1599,手机,5.0-4.6英寸,高性价比,双卡双待,1280x720
85660,asus:ASUS_T00F,ASUS,华硕,ZenFone 5,1000-1999,1599,手机,5.0-4.6英寸,高性价比,双卡双待,1280x720
85661,asus:ASUS_X550,Asus,华硕,飞马2 Plus,2000-3999,2299,手机,5.5-5.1英寸,美颜，摄影,8核芯片，陀螺仪，NFC芯片，双卡双待,1920x1080
85662,asus:K00F,ASUS,华硕,MeMO Pad 10,1000-1999,,平板,6.0英寸以上,,,
85663,asus:K012,ASUS,华硕,K012,1000-1999,1299,手机,6.0英寸以上,,,
85664,asus:ME172V,ASUS,华硕,ME172V,500-999,,平板,,,,
85665,asus:ME173X,ASUS,华硕,ME173X,500-999,,平板,6.0英寸以上,,,
85666,asus:ME371MG,ASUS,华硕,ME371MG,500-999,850,手机,6.0英寸以上,,,
85667,华硕ZenFone 2,ASUS,华硕,ZenFone 2,1000-1999,1299,手机,5.5-5.1英寸,摄影，高性价比,陀螺仪，NFC芯片，双卡双待,1920x1080
85668,华硕ZenFone 2:,ASUS,华硕,ZenFone 2,1000-1999,1299,手机,5.5-5.1英寸,摄影，高性价比,陀螺仪，NFC芯片，双卡双待,1920x1080
85669,:AUX I6L,AUX,奥克斯,i6L,500-999,999,手机,4.5-3.1英寸,,双卡双待,854x480
85670,:AUX V965T,AUX,奥克斯,V965T,500-999,699,手机,5.0-4.6英寸,,双卡双待,
85671,AUX I6L,AUX,奥克斯,i6L,500-999,999,手机,4.5-3.1英寸,,双卡双待,854x480
85672,AUX:AUX I6L,AUX,奥克斯,i6L,500-999,999,手机,4.5-3.1英寸,,双卡双待,854x480
85673,AUX:I6L,AUX,奥克斯,i6L,500-999,999,手机,4.5-3.1英寸,,双卡双待,854x480
85674,I6L,AUX,奥克斯,i6L,500-999,999,手机,4.5-3.1英寸,,双卡双待,854x480
85675,BASICOM:JX8166,BASICOM,宝捷讯,JX8166,1-499,399,手机,4.5-3.1英寸,,,
85676,BBK:H10,BBK,步步高,H10,2000-3999,,平板,6.0英寸以上,,,
85677,BBK:H8,BBK,步步高,H8,,,平板,6.0英寸以上,,,
85678,BBK:H8S,BBK,步步高,H8S,,,平板,,,,
85679,BBK:H9,BBK,步步高,H9,2000-3999,,平板,6.0英寸以上,,,
85680,EEBBK:H8S,BBK,步步高,H8S,,,平板,,,,
85681,EEBBK:S2,BBK,步步高,S2,2000-3999,3498,平板,,,,
85682,BESTSONNY:Best sonny_L81,BESTSONNY,至尊宝,L81,500-999,799,手机,4.5-3.1英寸,,,
85683,:Bird L100,Bird,波导,L100,500-999,599,手机,4.5-3.1英寸,,,
85684,:Bird L9,Bird,波导,L9,500-999,999,手机,5.0-4.6英寸,,双卡双待,
85685,:Bird LT01,Bird,波导,LT01,500-999,699,手机,5.0-4.6英寸,,,
85686,:DOEASY E700,Bird,波导,Doeasy E700,1-499,499,手机,4.5-3.1英寸,,,
85687,:T9108,Bird,波导,T9108,500-999,799,手机,4.5-3.1英寸,,,
85688,Bird:Doeasy E700,Bird,波导,Doeasy E700,1-499,499,手机,4.5-3.1英寸,,,
85689,Bird:I900,Bird,波导,I900,1-499,399,手机,4.5-3.1英寸,,,480x320
85690,Bird:T9500,Bird,波导,T9500,500-999,599,手机,4.5-3.1英寸,,,
85691,BIRD:T9508,Bird,波导,T9508,1-499,399,手机,4.5-3.1英寸,,双卡双待,
85692,BIRD:T9600,Bird,波导,T9600,500-999,699,手机,5.5-5.1英寸,,,
85693,:BOWAY TL500,BOWAY,邦华,TL500,500-999,999,手机,4.5-3.1英寸,,,854x480
